"lhs" "" "rhs" "support" "confidence" "lift"
"[230]" "{오늘,지역}" "=>" "{소요}" 0.290322580645161 0.75 1.1625
"[231]" "{소요,지역}" "=>" "{신청}" 0.32258064516129 1 1.06896551724138
"[232]" "{신청,지역}" "=>" "{소요}" 0.32258064516129 0.714285714285714 1.10714285714286
"[233]" "{도움,지역}" "=>" "{기간}" 0.225806451612903 1 1.40909090909091
"[234]" "{도움,지역}" "=>" "{오늘}" 0.161290322580645 0.714285714285714 0.82010582010582
"[235]" "{도움,지역}" "=>" "{신청}" 0.225806451612903 1 1.06896551724138
"[236]" "{기간,지역}" "=>" "{오늘}" 0.354838709677419 0.846153846153846 0.971509971509971
"[237]" "{오늘,지역}" "=>" "{기간}" 0.354838709677419 0.916666666666667 1.29166666666667
"[238]" "{기간,지역}" "=>" "{신청}" 0.419354838709677 1 1.06896551724138
"[239]" "{신청,지역}" "=>" "{기간}" 0.419354838709677 0.928571428571429 1.30844155844156
"[240]" "{오늘,지역}" "=>" "{신청}" 0.387096774193548 1 1.06896551724138
"[241]" "{신청,지역}" "=>" "{오늘}" 0.387096774193548 0.857142857142857 0.984126984126984
"[242]" "{기본,안전}" "=>" "{소요}" 0.161290322580645 0.833333333333333 1.29166666666667
"[243]" "{기본,안전}" "=>" "{도움}" 0.161290322580645 0.833333333333333 1.23015873015873
"[244]" "{기본,안전}" "=>" "{오늘}" 0.193548387096774 1 1.14814814814815
"[245]" "{기본,안전}" "=>" "{신청}" 0.193548387096774 1 1.06896551724138
"[246]" "{기본,지하}" "=>" "{기간}" 0.193548387096774 0.75 1.05681818181818
"[247]" "{기본,지하}" "=>" "{오늘}" 0.225806451612903 0.875 1.00462962962963
"[248]" "{기본,지하}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[249]" "{금요일,기본}" "=>" "{오늘}" 0.290322580645161 1 1.14814814814815
"[250]" "{금요일,기본}" "=>" "{신청}" 0.290322580645161 1 1.06896551724138
"[251]" "{기본,참고}" "=>" "{소요}" 0.193548387096774 0.75 1.1625
"[252]" "{기본,참고}" "=>" "{기간}" 0.258064516129032 1 1.40909090909091
"[253]" "{기간,기본}" "=>" "{참고}" 0.258064516129032 0.888888888888889 1.45029239766082
"[254]" "{기본,참고}" "=>" "{오늘}" 0.258064516129032 1 1.14814814814815
"[255]" "{기본,참고}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[256]" "{기본,도움}" "=>" "{소요}" 0.193548387096774 0.75 1.1625
"[257]" "{기본,소요}" "=>" "{오늘}" 0.290322580645161 1 1.14814814814815
"[258]" "{기본,소요}" "=>" "{신청}" 0.290322580645161 1 1.06896551724138
"[259]" "{기본,도움}" "=>" "{오늘}" 0.225806451612903 0.875 1.00462962962963
"[260]" "{기본,도움}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[261]" "{기간,기본}" "=>" "{오늘}" 0.258064516129032 0.888888888888889 1.02057613168724
"[262]" "{기간,기본}" "=>" "{신청}" 0.290322580645161 1 1.06896551724138
"[263]" "{기본,오늘}" "=>" "{신청}" 0.419354838709677 1 1.06896551724138
"[264]" "{기본,신청}" "=>" "{오늘}" 0.419354838709677 0.928571428571429 1.06613756613757
"[265]" "{안전,지하}" "=>" "{도움}" 0.225806451612903 0.777777777777778 1.14814814814815
"[266]" "{안전,지하}" "=>" "{오늘}" 0.290322580645161 1 1.14814814814815
"[267]" "{안전,지하}" "=>" "{신청}" 0.290322580645161 1 1.06896551724138
"[268]" "{금요일,안전}" "=>" "{도움}" 0.225806451612903 0.875 1.29166666666667
"[269]" "{금요일,도움}" "=>" "{안전}" 0.225806451612903 0.7 1.44666666666667
"[270]" "{금요일,안전}" "=>" "{오늘}" 0.258064516129032 1 1.14814814814815
"[271]" "{금요일,안전}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[272]" "{안전,참고}" "=>" "{소요}" 0.225806451612903 0.777777777777778 1.20555555555556
"[273]" "{안전,참고}" "=>" "{기간}" 0.290322580645161 1 1.40909090909091
"[274]" "{기간,안전}" "=>" "{참고}" 0.290322580645161 0.818181818181818 1.33492822966507
"[275]" "{안전,참고}" "=>" "{오늘}" 0.290322580645161 1 1.14814814814815
"[276]" "{안전,참고}" "=>" "{신청}" 0.290322580645161 1 1.06896551724138
"[277]" "{소요,안전}" "=>" "{도움}" 0.258064516129032 0.727272727272727 1.07359307359307
"[278]" "{소요,안전}" "=>" "{기간}" 0.290322580645161 0.818181818181818 1.15289256198347
"[279]" "{기간,안전}" "=>" "{소요}" 0.290322580645161 0.818181818181818 1.26818181818182
"[280]" "{소요,안전}" "=>" "{오늘}" 0.354838709677419 1 1.14814814814815
"[281]" "{안전,오늘}" "=>" "{소요}" 0.354838709677419 0.733333333333333 1.13666666666667
"[282]" "{소요,안전}" "=>" "{신청}" 0.354838709677419 1 1.06896551724138
"[283]" "{신청,안전}" "=>" "{소요}" 0.354838709677419 0.733333333333333 1.13666666666667
"[284]" "{기간,안전}" "=>" "{도움}" 0.258064516129032 0.727272727272727 1.07359307359307
"[285]" "{도움,안전}" "=>" "{오늘}" 0.387096774193548 1 1.14814814814815
"[286]" "{안전,오늘}" "=>" "{도움}" 0.387096774193548 0.8 1.18095238095238
"[287]" "{도움,오늘}" "=>" "{안전}" 0.387096774193548 0.705882352941177 1.45882352941176
"[288]" "{도움,안전}" "=>" "{신청}" 0.387096774193548 1 1.06896551724138
"[289]" "{신청,안전}" "=>" "{도움}" 0.387096774193548 0.8 1.18095238095238
"[290]" "{기간,안전}" "=>" "{오늘}" 0.354838709677419 1 1.14814814814815
"[291]" "{안전,오늘}" "=>" "{기간}" 0.354838709677419 0.733333333333333 1.03333333333333
"[292]" "{기간,안전}" "=>" "{신청}" 0.354838709677419 1 1.06896551724138
"[293]" "{신청,안전}" "=>" "{기간}" 0.354838709677419 0.733333333333333 1.03333333333333
"[294]" "{안전,오늘}" "=>" "{신청}" 0.483870967741935 1 1.06896551724138
"[295]" "{신청,안전}" "=>" "{오늘}" 0.483870967741935 1 1.14814814814815
"[296]" "{금요일,지하}" "=>" "{참고}" 0.193548387096774 0.75 1.22368421052632
"[297]" "{금요일,지하}" "=>" "{도움}" 0.193548387096774 0.75 1.10714285714286
"[298]" "{금요일,지하}" "=>" "{기간}" 0.193548387096774 0.75 1.05681818181818
"[299]" "{금요일,지하}" "=>" "{오늘}" 0.258064516129032 1 1.14814814814815
"[300]" "{금요일,지하}" "=>" "{신청}" 0.258064516129032 1 1.06896551724138
"[301]" "{소요,지하}" "=>" "{참고}" 0.193548387096774 0.75 1.22368421052632
"[302]" "{지하,참고}" "=>" "{기간}" 0.32258064516129 1 1.40909090909091
"[303]" "{기간,지하}" "=>" "{참고}" 0.32258064516129 0.909090909090909 1.48325358851675
"[304]" "{지하,참고}" "=>" "{오늘}" 0.32258064516129 1 1.14814814814815
"[305]" "{오늘,지하}" "=>" "{참고}" 0.32258064516129 0.769230769230769 1.25506072874494
"[306]" "{지하,참고}" "=>" "{신청}" 0.32258064516129 1 1.06896551724138
